Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000069_(4).jpg,9.6950,16,10,1600x562,899200
00000069_(5).jpg,6.8021,16,10,1023x682,697686
00000069_(6).jpg,6.8727,16,10,696x1024,712704
00000069_(7).jpg,6.3171,16,10,1024x679,695296
00000070.jpg,3.4766,16,10,640x640,409600
00000070_(2).jpg,7.3107,16,10,1024x752,770048
00000070_(3).jpg,6.2655,16,10,1024x683,699392
00000070_(4).jpg,7.1545,16,10,1024x768,786432
00000070_(5).jpg,7.1031,16,10,1024x773,791552
00000070_(6).jpg,5.8836,16,10,800x800,640000
00000070_(7).jpg,15.7555,16,10,1600x1068,1708800
00000071.jpg,13.8109,16,10,1599x955,1527045
00000071_(2).jpg,5.5087,16,10,900x600,540000
00000071_(3).jpg,1.9913,16,10,640x427,273280
00000071_(4).jpg,2.9998,16,10,446x640,285440
00000071_(5).jpg,6.5958,16,10,1024x629,644096
00000071_(6).jpg,6.4120,16,10,1024x677,693248
00000071_(7).jpg,22600.7428,16,10,1600x1055,1688000
00000072.jpg,14.3547,16,10,1600x900,1440000
00000072_(2).jpg,5.3207,16,10,900x513,461700
00000072_(3).jpg,9.5501,16,10,1600x575,920000
00000072_(4).jpg,6.8532,16,10,1024x670,686080
00000072_(5).jpg,16.8578,16,10,1600x1053,1684800
00000072_(6).jpg,2.6523,16,10,1023x225,230175
00000073.jpg,11.9621,16,10,1024x1024,1048576
00000073_(2).jpg,18.0627,16,10,1600x1068,1708800
00000073_(3).jpg,2.8393,16,10,640x406,259840
00000073_(4).jpg,8.9024,16,10,1024x764,782336
00000073_(5).jpg,8.8140,16,10,1024x795,814080
00000073_(6).jpg,7.5896,16,10,1024x683,699392
00000074.jpg,7.1693,16,10,800x800,640000
00000074_(2).jpg,8.1176,16,10,1024x716,733184
00000074_(3).jpg,8.1115,16,10,1023x724,740652
00000074_(4).jpg,8.8307,16,10,1024x805,824320
00000074_(5).jpg,3.4556,16,10,640x463,296320
00000074_(6).jpg,2.9945,16,10,427x640,273280
00000075.jpg,5.5125,16,10,1024x516,528384
